Region,Age Group,Cumulative Age Rate,Age-Specific Rate
Rio de Janeiro,15-19,9.1,9.1
Rio de Janeiro,20-24,67.2,58.1
Rio de Janeiro,25-29,146.8,79.6
Rio de Janeiro,30-34,221,74.2
Rio de Janeiro,35-39,286.3,65.3
Rio de Janeiro,40-44,338.4,52.1
Rio de Janeiro,45-49,384.8,46.4
São Paulo,15-19,6,6
São Paulo,20-24,56.3,50.3
São Paulo,25-29,136.6,80.3
São Paulo,30-34,219.7,83.1
São Paulo,35-39,305.2,85.5
São Paulo,40-44,388.3,83.1
São Paulo,45-49,466.1,77.8
Brazil,15-19,12.2,12.2
Brazil,20-24,103,90.8
Brazil,25-29,245.3,142.3
Brazil,30-34,385.1,139.8
Brazil,35-39,508.8,123.7
Brazil,40-44,587.2,78.4
Brazil,45-49,638.7,51.5